year,state,type_of_crime,is_high_impact,total
2015,Coahuila de Zaragoza,Robo con violencia,1,2221
2015,Coahuila de Zaragoza,Violencia familiar,1,2154
2015,Coahuila de Zaragoza,Homicidio,1,535
2015,Coahuila de Zaragoza,Delitos Sexuales,0,484
2015,Coahuila de Zaragoza,Extorsión,1,36
2015,Coahuila de Zaragoza,Secuestro,1,25
2015,Coahuila de Zaragoza,Feminicidio,1,16
2015,Colima,Otros Delitos Contra el Patrimonio,0,2915
2015,Colima,Otros Delitos,0,1891
2015,Colima,Violencia familiar,1,549
2015,Colima,Narcomenudeo,1,493
2015,Colima,Robo con violencia,1,418
2015,Colima,Homicidio,1,222
2015,Colima,Delitos Sexuales,0,50
2015,Colima,Extorsión,1,14
2015,Colima,Feminicidio,1,5
2015,Colima,Secuestro,1,5
2015,Durango,Otros Delitos Contra el Patrimonio,0,13908
2015,Durango,Otros Delitos,0,8501
2015,Durango,Violencia familiar,1,3521
2015,Durango,Robo con violencia,1,1890
2015,Durango,Homicidio,1,494
2015,Durango,Delitos Sexuales,0,390
2015,Durango,Narcomenudeo,1,314
2015,Durango,Extorsión,1,62
2015,Durango,Secuestro,1,6
2015,Durango,Feminicidio,1,2
2015,Guanajuato,Otros Delitos Contra el Patrimonio,0,38624
2015,Guanajuato,Otros Delitos,0,32883
2015,Guanajuato,Violencia familiar,1,10298
2015,Guanajuato,Robo con violencia,1,6549
2015,Guanajuato,Narcomenudeo,1,3060
2015,Guanajuato,Homicidio,1,2398
2015,Guanajuato,Delitos Sexuales,0,1938
2015,Guanajuato,Feminicidio,1,16
2015,Guanajuato,Extorsión,1,8
2015,Guanajuato,Secuestro,1,8
2015,Guerrero,Otros Delitos,0,14686
2015,Guerrero,Otros Delitos Contra el Patrimonio,0,12819
2015,Guerrero,Robo con violencia,1,3383
2015,Guerrero,Homicidio,1,2721
2015,Guerrero,Violencia familiar,1,2022
2015,Guerrero,Delitos Sexuales,0,577
2015,Guerrero,Narcomenudeo,1,349
2015,Guerrero,Extorsión,1,144
2015,Guerrero,Secuestro,1,81
2015,Guerrero,Feminicidio,1,1
2015,Hidalgo,Otros Delitos Contra el Patrimonio,0,12436
2015,Hidalgo,Otros Delitos,0,9931
2015,Hidalgo,Violencia familiar,1,2294
2015,Hidalgo,Robo con violencia,1,1390
2015,Hidalgo,Homicidio,1,651
2015,Hidalgo,Delitos Sexuales,0,630
2015,Hidalgo,Narcomenudeo,1,111
2015,Hidalgo,Extorsión,1,42
2015,Hidalgo,Secuestro,1,19
2015,Hidalgo,Feminicidio,1,0
2015,Jalisco,Otros Delitos Contra el Patrimonio,0,38852
2015,Jalisco,Otros Delitos,0,31767
2015,Jalisco,Violencia familiar,1,8543
2015,Jalisco,Robo con violencia,1,6376
2015,Jalisco,Narcomenudeo,1,5045
2015,Jalisco,Delitos Sexuales,0,2099
2015,Jalisco,Homicidio,1,1736
2015,Jalisco,Extorsión,1,831
2015,Jalisco,Feminicidio,1,62
2015,Jalisco,Secuestro,1,20
2015,Michoacán de Ocampo,Otros Delitos Contra el Patrimonio,0,14198
2015,Michoacán de Ocampo,Otros Delitos,0,7681
2015,Michoacán de Ocampo,Robo con violencia,1,4207
2015,Michoacán de Ocampo,Homicidio,1,2041
2015,Michoacán de Ocampo,Narcomenudeo,1,1136
2015,Michoacán de Ocampo,Violencia familiar,1,921
2015,Michoacán de Ocampo,Delitos Sexuales,0,629
2015,Michoacán de Ocampo,Extorsión,1,43
2015,Michoacán de Ocampo,Secuestro,1,31
2015,Michoacán de Ocampo,Feminicidio,1,12
2015,Morelos,Otros Delitos Contra el Patrimonio,0,20824
2015,Morelos,Otros Delitos,0,14990
2015,Morelos,Robo con violencia,1,6736
2015,Morelos,Violencia familiar,1,4034
2015,Morelos,Delitos Sexuales,0,857
2015,Morelos,Homicidio,1,851
2015,Morelos,Narcomenudeo,1,734
2015,Morelos,Extorsión,1,172
2015,Morelos,Secuestro,1,32
2015,Morelos,Feminicidio,1,15
2015,México,Otros Delitos,0,116780
2015,México,Otros Delitos Contra el Patrimonio,0,105798
2015,México,Robo con violencia,1,88064
2015,México,Violencia familiar,1,4722
2015,México,Homicidio,1,3097
2015,México,Delitos Sexuales,0,2302
2015,México,Extorsión,1,1580
2015,México,Narcomenudeo,1,959
2015,México,Secuestro,1,163
2015,México,Feminicidio,1,60
2015,Nayarit,Otros Delitos,0,2879
2015,Nayarit,Otros Delitos Contra el Patrimonio,0,2272
2015,Nayarit,Narcomenudeo,1,538
2015,Nayarit,Robo con violencia,1,369
2015,Nayarit,Violencia familiar,1,298
2015,Nayarit,Homicidio,1,147
2015,Nayarit,Delitos Sexuales,0,135
2015,Nayarit,Secuestro,1,12
2015,Nayarit,Extorsión,1,1
2015,Nayarit,Feminicidio,1,0
2015,Nuevo León,Otros Delitos Contra el Patrimonio,0,23176
2015,Nuevo León,Otros Delitos,0,22823
2015,Nuevo León,Violencia familiar,1,17062
2015,Nuevo León,Robo con violencia,1,4148
2015,Nuevo León,Narcomenudeo,1,1849
2015,Nuevo León,Delitos Sexuales,0,1773
2015,Nuevo León,Homicidio,1,988
2015,Nuevo León,Extorsión,1,509
2015,Nuevo León,Secuestro,1,21
2015,Nuevo León,Feminicidio,1,1
2015,Oaxaca,Otros Delitos,0,2029
2015,Oaxaca,Otros Delitos Contra el Patrimonio,0,1979
2015,Oaxaca,Robo con violencia,1,814
2015,Oaxaca,Violencia familiar,1,618
2015,Oaxaca,Homicidio,1,416
2015,Oaxaca,Delitos Sexuales,0,177
2015,Oaxaca,Narcomenudeo,1,36
2015,Oaxaca,Extorsión,1,33
2015,Oaxaca,Secuestro,1,17
2015,Oaxaca,Feminicidio,1,8
2015,Puebla,Otros Delitos Contra el Patrimonio,0,25876
2015,Puebla,Otros Delitos,0,19016
2015,Puebla,Robo con violencia,1,9133
2015,Puebla,Violencia familiar,1,5024
2015,Puebla,Narcomenudeo,1,3133
2015,Puebla,Homicidio,1,1206
2015,Puebla,Delitos Sexuales,0,699
2015,Puebla,Extorsión,1,273
2015,Puebla,Secuestro,1,33
2015,Puebla,Feminicidio,1,6
2015,Querétaro,Otros Delitos Contra el Patrimonio,0,19263
2015,Querétaro,Otros Delitos,0,7857
2015,Querétaro,Robo con violencia,1,3455
2015,Querétaro,Violencia familiar,1,942
2015,Querétaro,Delitos Sexuales,0,596
2015,Querétaro,Homicidio,1,447
2015,Querétaro,Narcomenudeo,1,224
2015,Querétaro,Secuestro,1,19
2015,Querétaro,Feminicidio,1,8
2015,Querétaro,Extorsión,1,6
2015,Quintana Roo,Otros Delitos Contra el Patrimonio,0,17051
2015,Quintana Roo,Otros Delitos,0,8393
2015,Quintana Roo,Violencia familiar,1,3058
2015,Quintana Roo,Robo con violencia,1,1721
2015,Quintana Roo,Delitos Sexuales,0,1024
2015,Quintana Roo,Homicidio,1,571
2015,Quintana Roo,Narcomenudeo,1,557
2015,Quintana Roo,Extorsión,1,116
2015,Quintana Roo,Secuestro,1,5
2015,Quintana Roo,Feminicidio,1,0
2015,San Luis Potosí,Otros Delitos Contra el Patrimonio,0,9113
2015,San Luis Potosí,Otros Delitos,0,6776
2015,San Luis Potosí,Violencia familiar,1,2924
2015,San Luis Potosí,Robo con violencia,1,1288
2015,San Luis Potosí,Delitos Sexuales,0,615
2015,San Luis Potosí,Homicidio,1,392
2015,San Luis Potosí,Narcomenudeo,1,142
2015,San Luis Potosí,Extorsión,1,141
2015,San Luis Potosí,Secuestro,1,21
2015,San Luis Potosí,Feminicidio,1,7
2015,Sinaloa,Otros Delitos Contra el Patrimonio,0,10483
2015,Sinaloa,Otros Delitos,0,6521
2015,Sinaloa,Robo con violencia,1,3506
2015,Sinaloa,Violencia familiar,1,2387
2015,Sinaloa,Homicidio,1,1404
2015,Sinaloa,Narcomenudeo,1,939
2015,Sinaloa,Delitos Sexuales,0,418
2015,Sinaloa,Extorsión,1,128
2015,Sinaloa,Feminicidio,1,14
2015,Sinaloa,Secuestro,1,12
2015,Sonora,Otros Delitos Contra el Patrimonio,0,10831
2015,Sonora,Otros Delitos,0,8945
2015,Sonora,Narcomenudeo,1,2587
2015,Sonora,Robo con violencia,1,2569
2015,Sonora,Violencia familiar,1,2231
2015,Sonora,Homicidio,1,983
2015,Sonora,Delitos Sexuales,0,461
2015,Sonora,Feminicidio,1,24
2015,Sonora,Extorsión,1,20
2015,Sonora,Secuestro,1,8
2015,Tabasco,Otros Delitos,0,28867
2015,Tabasco,Otros Delitos Contra el Patrimonio,0,13702
2015,Tabasco,Robo con violencia,1,9278
2015,Tabasco,Violencia familiar,1,4230
2015,Tabasco,Homicidio,1,685
2015,Tabasco,Delitos Sexuales,0,432
2015,Tabasco,Extorsión,1,171
2015,Tabasco,Secuestro,1,78
2015,Tabasco,Feminicidio,1,8
2015,Tabasco,Narcomenudeo,1,1
2015,Tamaulipas,Otros Delitos Contra el Patrimonio,0,17603
2015,Tamaulipas,Otros Delitos,0,15589
2015,Tamaulipas,Robo con violencia,1,5716
2015,Tamaulipas,Violencia familiar,1,2394
2015,Tamaulipas,Homicidio,1,1383
2015,Tamaulipas,Narcomenudeo,1,854
2015,Tamaulipas,Delitos Sexuales,0,584
2015,Tamaulipas,Secuestro,1,230
2015,Tamaulipas,Extorsión,1,174
2015,Tamaulipas,Feminicidio,1,0
2015,Tlaxcala,Otros Delitos Contra el Patrimonio,0,4332
2015,Tlaxcala,Otros Delitos,0,2145
2015,Tlaxcala,Robo con violencia,1,1331
2015,Tlaxcala,Homicidio,1,322
2015,Tlaxcala,Delitos Sexuales,0,77
2015,Tlaxcala,Narcomenudeo,1,68
2015,Tlaxcala,Violencia familiar,1,24
2015,Tlaxcala,Extorsión,1,9
2015,Tlaxcala,Secuestro,1,8
2015,Tlaxcala,Feminicidio,1,1
2015,Veracruz de Ignacio de la Llave,Otros Delitos Contra el Patrimonio,0,21802
2015,Veracruz de Ignacio de la Llave,Otros Delitos,0,13433
2015,Veracruz de Ignacio de la Llave,Robo con violencia,1,5171
2015,Veracruz de Ignacio de la Llave,Violencia familiar,1,3572
2015,Veracruz de Ignacio de la Llave,Homicidio,1,1008
2015,Veracruz de Ignacio de la Llave,Delitos Sexuales,0,210
2015,Veracruz de Ignacio de la Llave,Extorsión,1,126
2015,Veracruz de Ignacio de la Llave,Secuestro,1,97
2015,Veracruz de Ignacio de la Llave,Narcomenudeo,1,80
2015,Veracruz de Ignacio de la Llave,Feminicidio,1,40
2015,Yucatán,Otros Delitos,0,19316
2015,Yucatán,Otros Delitos Contra el Patrimonio,0,11998
2015,Yucatán,Violencia familiar,1,2158
2015,Yucatán,Delitos Sexuales,0,662
2015,Yucatán,Robo con violencia,1,230
2015,Yucatán,Narcomenudeo,1,179
2015,Yucatán,Homicidio,1,104
2015,Yucatán,Extorsión,1,68
2015,Yucatán,Feminicidio,1,1
2015,Yucatán,Secuestro,1,0
2015,Zacatecas,Otros Delitos Contra el Patrimonio,0,8349
2015,Zacatecas,Otros Delitos,0,4479
2015,Zacatecas,Robo con violencia,1,1871
2015,Zacatecas,Violencia familiar,1,735
2015,Zacatecas,Homicidio,1,357
2015,Zacatecas,Delitos Sexuales,0,186
2015,Zacatecas,Narcomenudeo,1,93
2015,Zacatecas,Extorsión,1,91
2015,Zacatecas,Secuestro,1,18
2015,Zacatecas,Feminicidio,1,0
2016,Aguascalientes,Otros Delitos Contra el Patrimonio,0,13429
2016,Aguascalientes,Otros Delitos,0,7599
2016,Aguascalientes,Robo con violencia,1,883
2016,Aguascalientes,Narcomenudeo,1,717
2016,Aguascalientes,Violencia familiar,1,645
2016,Aguascalientes,Homicidio,1,233
2016,Aguascalientes,Delitos Sexuales,0,151
2016,Aguascalientes,Extorsión,1,70
2016,Aguascalientes,Secuestro,1,2
2016,Aguascalientes,Feminicidio,1,0
2016,Baja California,Otros Delitos Contra el Patrimonio,0,51423
2016,Baja California,Otros Delitos,0,33290
2016,Baja California,Robo con violencia,1,10360
2016,Baja California,Violencia familiar,1,8315
2016,Baja California,Delitos Sexuales,0,2254
2016,Baja California,Narcomenudeo,1,1763
2016,Baja California,Homicidio,1,1503
2016,Baja California,Extorsión,1,175
2016,Baja California,Secuestro,1,14
2016,Baja California,Feminicidio,1,12
2016,Baja California Sur,Otros Delitos Contra el Patrimonio,0,14351
2016,Baja California Sur,Otros Delitos,0,6043
2016,Baja California Sur,Violencia familiar,1,2099
2016,Baja California Sur,Robo con violencia,1,827
2016,Baja California Sur,Narcomenudeo,1,462
2016,Baja California Sur,Delitos Sexuales,0,413
2016,Baja California Sur,Homicidio,1,272
2016,Baja California Sur,Extorsión,1,139
2016,Baja California Sur,Feminicidio,1,0
2016,Baja California Sur,Secuestro,1,0
2016,Campeche,Otros Delitos Contra el Patrimonio,0,1218
2016,Campeche,Otros Delitos,0,407
2016,Campeche,Delitos Sexuales,0,172
2016,Campeche,Homicidio,1,167
2016,Campeche,Robo con violencia,1,137
2016,Campeche,Narcomenudeo,1,66
2016,Campeche,Violencia familiar,1,43
2016,Campeche,Extorsión,1,18
2016,Campeche,Secuestro,1,6
2016,Campeche,Feminicidio,1,3
2016,Chiapas,Otros Delitos Contra el Patrimonio,0,5796
2016,Chiapas,Robo con violencia,1,5701
2016,Chiapas,Otros Delitos,0,5530
2016,Chiapas,Violencia familiar,1,1964
2016,Chiapas,Homicidio,1,1480
2016,Chiapas,Delitos Sexuales,0,1071
2016,Chiapas,Narcomenudeo,1,436
2016,Chiapas,Extorsión,1,164
2016,Chiapas,Feminicidio,1,32
2016,Chiapas,Secuestro,1,15
2016,Chihuahua,Otros Delitos Contra el Patrimonio,0,22569
2016,Chihuahua,Otros Delitos,0,13313
2016,Chihuahua,Violencia familiar,1,11960
2016,Chihuahua,Narcomenudeo,1,4791
2016,Chihuahua,Delitos Sexuales,0,2100
2016,Chihuahua,Robo con violencia,1,1592
2016,Chihuahua,Homicidio,1,1547
2016,Chihuahua,Extorsión,1,23
2016,Chihuahua,Secuestro,1,9
2016,Chihuahua,Feminicidio,1,0
2016,Ciudad de México,Otros Delitos Contra el Patrimonio,0,93847
2016,Ciudad de México,Otros Delitos,0,39640
2016,Ciudad de México,Robo con violencia,1,21483
2016,Ciudad de México,Violencia familiar,1,18426
2016,Ciudad de México,Delitos Sexuales,0,2625
2016,Ciudad de México,Homicidio,1,1594
2016,Ciudad de México,Narcomenudeo,1,1405
2016,Ciudad de México,Extorsión,1,608
2016,Ciudad de México,Feminicidio,1,46
2016,Ciudad de México,Secuestro,1,46
2016,Coahuila de Zaragoza,Otros Delitos Contra el Patrimonio,0,21001
2016,Coahuila de Zaragoza,Otros Delitos,0,18059
2016,Coahuila de Zaragoza,Violencia familiar,1,6885
2016,Coahuila de Zaragoza,Narcomenudeo,1,2488
2016,Coahuila de Zaragoza,Robo con violencia,1,1466
2016,Coahuila de Zaragoza,Delitos Sexuales,0,809
2016,Coahuila de Zaragoza,Homicidio,1,476
2016,Coahuila de Zaragoza,Extorsión,1,24
2016,Coahuila de Zaragoza,Secuestro,1,21
2016,Coahuila de Zaragoza,Feminicidio,1,13
2016,Colima,Otros Delitos Contra el Patrimonio,0,7561
2016,Colima,Otros Delitos,0,2665
2016,Colima,Robo con violencia,1,1061
2016,Colima,Homicidio,1,597
2016,Colima,Violencia familiar,1,582
2016,Colima,Narcomenudeo,1,527
2016,Colima,Delitos Sexuales,0,140
2016,Colima,Extorsión,1,67
2016,Colima,Feminicidio,1,22
2016,Colima,Secuestro,1,4
2016,Durango,Otros Delitos Contra el Patrimonio,0,15133
2016,Durango,Otros Delitos,0,8928
2016,Durango,Violencia familiar,1,5272
2016,Durango,Robo con violencia,1,1180
2016,Durango,Narcomenudeo,1,610
2016,Durango,Delitos Sexuales,0,534
2016,Durango,Homicidio,1,464
2016,Durango,Extorsión,1,49
2016,Durango,Secuestro,1,11
2016,Durango,Feminicidio,1,2
2016,Guanajuato,Otros Delitos Contra el Patrimonio,0,40625
2016,Guanajuato,Otros Delitos,0,38124
2016,Guanajuato,Violencia familiar,1,11133
2016,Guanajuato,Robo con violencia,1,8497
2016,Guanajuato,Narcomenudeo,1,3684
2016,Guanajuato,Homicidio,1,2572
2016,Guanajuato,Delitos Sexuales,0,1604
2016,Guanajuato,Feminicidio,1,14
2016,Guanajuato,Secuestro,1,8
2016,Guanajuato,Extorsión,1,4
2016,Guerrero,Otros Delitos,0,15383
2016,Guerrero,Otros Delitos Contra el Patrimonio,0,10857
2016,Guerrero,Robo con violencia,1,4089
2016,Guerrero,Homicidio,1,2844
2016,Guerrero,Violencia familiar,1,2183
2016,Guerrero,Delitos Sexuales,0,497
2016,Guerrero,Narcomenudeo,1,416
2016,Guerrero,Extorsión,1,199
2016,Guerrero,Secuestro,1,72
2016,Guerrero,Feminicidio,1,21
2016,Hidalgo,Otros Delitos Contra el Patrimonio,0,14878
2016,Hidalgo,Otros Delitos,0,11873
2016,Hidalgo,Violencia familiar,1,3078
2016,Hidalgo,Robo con violencia,1,2126
2016,Hidalgo,Delitos Sexuales,0,843
2016,Hidalgo,Homicidio,1,653
2016,Hidalgo,Narcomenudeo,1,187
2016,Hidalgo,Extorsión,1,80
2016,Hidalgo,Feminicidio,1,22
2016,Hidalgo,Secuestro,1,14
2016,Jalisco,Otros Delitos Contra el Patrimonio,0,71430
2016,Jalisco,Otros Delitos,0,38299
2016,Jalisco,Violencia familiar,1,11431
2016,Jalisco,Robo con violencia,1,7494
2016,Jalisco,Delitos Sexuales,0,3155
2016,Jalisco,Narcomenudeo,1,2245
2016,Jalisco,Homicidio,1,2027
2016,Jalisco,Extorsión,1,675
2016,Jalisco,Feminicidio,1,48
2016,Jalisco,Secuestro,1,16
2016,Michoacán de Ocampo,Otros Delitos Contra el Patrimonio,0,13841
2016,Michoacán de Ocampo,Otros Delitos,0,8469
2016,Michoacán de Ocampo,Robo con violencia,1,5367
2016,Michoacán de Ocampo,Homicidio,1,2355
2016,Michoacán de Ocampo,Narcomenudeo,1,1101
2016,Michoacán de Ocampo,Violencia familiar,1,787
2016,Michoacán de Ocampo,Delitos Sexuales,0,569
2016,Michoacán de Ocampo,Feminicidio,1,26
2016,Michoacán de Ocampo,Secuestro,1,25
2016,Michoacán de Ocampo,Extorsión,1,18
2016,Morelos,Otros Delitos Contra el Patrimonio,0,20305
2016,Morelos,Otros Delitos,0,12206
2016,Morelos,Robo con violencia,1,5769
2016,Morelos,Violencia familiar,1,4516
2016,Morelos,Narcomenudeo,1,843
2016,Morelos,Delitos Sexuales,0,838
2016,Morelos,Homicidio,1,833
2016,Morelos,Extorsión,1,67
2016,Morelos,Secuestro,1,41
2016,Morelos,Feminicidio,1,30
2016,México,Otros Delitos,0,138324
2016,México,Otros Delitos Contra el Patrimonio,0,113560
2016,México,Robo con violencia,1,58336
2016,México,Violencia familiar,1,5474
2016,México,Delitos Sexuales,0,3916
2016,México,Homicidio,1,2899
2016,México,Extorsión,1,1452
2016,México,Narcomenudeo,1,766
2016,México,Secuestro,1,254
2016,México,Feminicidio,1,57
2016,Nayarit,Otros Delitos,0,1394
2016,Nayarit,Otros Delitos Contra el Patrimonio,0,1258
2016,Nayarit,Violencia familiar,1,476
2016,Nayarit,Narcomenudeo,1,188
2016,Nayarit,Robo con violencia,1,167
2016,Nayarit,Delitos Sexuales,0,93
2016,Nayarit,Homicidio,1,84
2016,Nayarit,Extorsión,1,5
2016,Nayarit,Secuestro,1,3
2016,Nayarit,Feminicidio,1,0
2016,Nuevo León,Otros Delitos Contra el Patrimonio,0,30762
2016,Nuevo León,Otros Delitos,0,24955
2016,Nuevo León,Violencia familiar,1,17773
2016,Nuevo León,Robo con violencia,1,5935
2016,Nuevo León,Delitos Sexuales,0,1883
2016,Nuevo León,Narcomenudeo,1,1611
2016,Nuevo León,Homicidio,1,1171
2016,Nuevo León,Extorsión,1,626
2016,Nuevo León,Secuestro,1,27
2016,Nuevo León,Feminicidio,1,3
2016,Oaxaca,Otros Delitos Contra el Patrimonio,0,13287
2016,Oaxaca,Otros Delitos,0,9322
2016,Oaxaca,Violencia familiar,1,3353
2016,Oaxaca,Robo con violencia,1,2758
2016,Oaxaca,Homicidio,1,1541
2016,Oaxaca,Delitos Sexuales,0,874
2016,Oaxaca,Narcomenudeo,1,324
2016,Oaxaca,Feminicidio,1,67
2016,Oaxaca,Extorsión,1,53
2016,Oaxaca,Secuestro,1,28
2016,Puebla,Otros Delitos Contra el Patrimonio,0,19369
2016,Puebla,Otros Delitos,0,14200
2016,Puebla,Robo con violencia,1,9249
2016,Puebla,Violencia familiar,1,5586
2016,Puebla,Homicidio,1,1206
2016,Puebla,Delitos Sexuales,0,767
2016,Puebla,Narcomenudeo,1,518
2016,Puebla,Extorsión,1,122
2016,Puebla,Secuestro,1,32
2016,Puebla,Feminicidio,1,12
2016,Querétaro,Otros Delitos Contra el Patrimonio,0,26405
2016,Querétaro,Otros Delitos,0,10664
2016,Querétaro,Robo con violencia,1,2927
2016,Querétaro,Violencia familiar,1,965
2016,Querétaro,Narcomenudeo,1,826
2016,Querétaro,Delitos Sexuales,0,668
2016,Querétaro,Homicidio,1,421
2016,Querétaro,Secuestro,1,12
2016,Querétaro,Extorsión,1,11
2016,Querétaro,Feminicidio,1,1
2016,Quintana Roo,Otros Delitos Contra el Patrimonio,0,9928
2016,Quintana Roo,Otros Delitos,0,4540
2016,Quintana Roo,Violencia familiar,1,1524
2016,Quintana Roo,Robo con violencia,1,1419
2016,Quintana Roo,Delitos Sexuales,0,638
2016,Quintana Roo,Narcomenudeo,1,582
2016,Quintana Roo,Homicidio,1,278
2016,Quintana Roo,Extorsión,1,41
2016,Quintana Roo,Secuestro,1,8
2016,Quintana Roo,Feminicidio,1,0
2016,San Luis Potosí,Otros Delitos Contra el Patrimonio,0,11801
2016,San Luis Potosí,Otros Delitos,0,9612
2016,San Luis Potosí,Violencia familiar,1,3930
2016,San Luis Potosí,Robo con violencia,1,1590
2016,San Luis Potosí,Delitos Sexuales,0,704
2016,San Luis Potosí,Homicidio,1,500
2016,San Luis Potosí,Narcomenudeo,1,224
2016,San Luis Potosí,Extorsión,1,218
2016,San Luis Potosí,Secuestro,1,26
2016,San Luis Potosí,Feminicidio,1,8
2016,Sinaloa,Otros Delitos Contra el Patrimonio,0,8517
2016,Sinaloa,Otros Delitos,0,5295
2016,Sinaloa,Robo con violencia,1,3454
2016,Sinaloa,Violencia familiar,1,2371
2016,Sinaloa,Homicidio,1,1516
2016,Sinaloa,Delitos Sexuales,0,445
2016,Sinaloa,Narcomenudeo,1,386
2016,Sinaloa,Extorsión,1,104
2016,Sinaloa,Feminicidio,1,39
2016,Sinaloa,Secuestro,1,14
2016,Sonora,Otros Delitos Contra el Patrimonio,0,12739
2016,Sonora,Otros Delitos,0,11661
2016,Sonora,Robo con violencia,1,7642
2016,Sonora,Violencia familiar,1,3595
2016,Sonora,Narcomenudeo,1,1838
2016,Sonora,Homicidio,1,1068
2016,Sonora,Delitos Sexuales,0,703
2016,Sonora,Extorsión,1,142
2016,Sonora,Feminicidio,1,30
2016,Sonora,Secuestro,1,5
2016,Tabasco,Otros Delitos,0,24471
2016,Tabasco,Otros Delitos Contra el Patrimonio,0,17754
2016,Tabasco,Robo con violencia,1,10331
2016,Tabasco,Violencia familiar,1,5406
2016,Tabasco,Homicidio,1,699
2016,Tabasco,Delitos Sexuales,0,457
2016,Tabasco,Extorsión,1,148
2016,Tabasco,Secuestro,1,85
2016,Tabasco,Narcomenudeo,1,56
2016,Tabasco,Feminicidio,1,27
2016,Tamaulipas,Otros Delitos Contra el Patrimonio,0,17572
2016,Tamaulipas,Otros Delitos,0,16692
2016,Tamaulipas,Violencia familiar,1,6378
2016,Tamaulipas,Robo con violencia,1,4894
2016,Tamaulipas,Homicidio,1,1513
2016,Tamaulipas,Delitos Sexuales,0,739
2016,Tamaulipas,Narcomenudeo,1,477
2016,Tamaulipas,Secuestro,1,155
2016,Tamaulipas,Extorsión,1,107
2016,Tamaulipas,Feminicidio,1,1
2016,Tlaxcala,Otros Delitos Contra el Patrimonio,0,3659
2016,Tlaxcala,Robo con violencia,1,1590
2016,Tlaxcala,Otros Delitos,0,1037
2016,Tlaxcala,Homicidio,1,361
2016,Tlaxcala,Delitos Sexuales,0,65
2016,Tlaxcala,Narcomenudeo,1,50
2016,Tlaxcala,Violencia familiar,1,6
2016,Tlaxcala,Secuestro,1,5
