year,state,type_of_crime,is_high_impact,total,total_population,crime_per_100k
2015,Morelos,Theft with violence,1,6736,1971520,341.66531407239086
2015,Morelos,Domestic violence,1,4034,1971520,204.61369907482552
2015,Morelos,Sexual crimes,1,857,1971520,43.46899853919818
2015,Morelos,Homicide,1,851,1971520,43.16466482713845
2015,Morelos,Drug dealing,1,734,1971520,37.2301574419737
2015,Morelos,Extortion,1,172,1971520,8.724233079045609
2015,Morelos,Kidnapping,1,32,1971520,1.6231131309852296
2015,Morelos,Feminicide,1,15,1971520,0.7608342801493264
2015,México,Theft with violence,1,88064,16992418,518.2546709950285
2015,México,Domestic violence,1,4722,16992418,27.7888644217674
2015,México,Homicide,1,3097,16992418,18.225775754810172
2015,México,Sexual crimes,1,2302,16992418,13.547218530052639
2015,México,Extortion,1,1580,16992418,9.298264673103027
2015,México,Drug dealing,1,959,16992418,5.643693557915066
2015,México,Kidnapping,1,163,16992418,0.959251355516325
2015,México,Feminicide,1,60,16992418,0.3530986584722669
2015,Nayarit,Drug dealing,1,538,1235456,43.54667426440116
2015,Nayarit,Theft with violence,1,369,1235456,29.86751450476585
2015,Nayarit,Domestic violence,1,298,1235456,24.12064857024451
2015,Nayarit,Homicide,1,147,1235456,11.89844073767095
2015,Nayarit,Sexual crimes,1,135,1235456,10.927139452963116
2015,Nayarit,Kidnapping,1,12,1235456,0.9713012847078326
2015,Nayarit,Extortion,1,1,1235456,0.08094177372565271
2015,Nayarit,Feminicide,1,0,1235456,0.0
2015,Nuevo León,Domestic violence,1,17062,5784442,294.96362829811414
2015,Nuevo León,Theft with violence,1,4148,5784442,71.7095961892262
2015,Nuevo León,Drug dealing,1,1849,5784442,31.965053846161826
2015,Nuevo León,Sexual crimes,1,1773,5784442,30.65118467779606
2015,Nuevo León,Homicide,1,988,5784442,17.08029918875494
2015,Nuevo León,Extortion,1,509,5784442,8.799465877607554
2015,Nuevo León,Kidnapping,1,21,5784442,0.3630427965221192
2015,Nuevo León,Feminicide,1,1,5784442,0.017287752215339007
2015,Oaxaca,Theft with violence,1,814,4132148,19.699197608604532
2015,Oaxaca,Domestic violence,1,618,4132148,14.955901869923341
2015,Oaxaca,Homicide,1,416,4132148,10.067403200466199
2015,Oaxaca,Sexual crimes,1,177,4132148,4.283486457890666
2015,Oaxaca,Drug dealing,1,36,4132148,0.8712175846557286
2015,Oaxaca,Extortion,1,33,4132148,0.7986161192677513
2015,Oaxaca,Kidnapping,1,17,4132148,0.41140830386520527
2015,Oaxaca,Feminicide,1,8,4132148,0.19360390770127303
2015,Puebla,Theft with violence,1,9133,6583278,138.7302799608341
2015,Puebla,Domestic violence,1,5024,6583278,76.3145654793858
2015,Puebla,Drug dealing,1,3133,6583278,47.59027341698163
2015,Puebla,Homicide,1,1206,6583278,18.319141315314344
2015,Puebla,Sexual crimes,1,699,6583278,10.617810762358813
2015,Puebla,Extortion,1,273,6583278,4.146870297745287
2015,Puebla,Kidnapping,1,33,6583278,0.5012700359911886
2015,Puebla,Feminicide,1,6,6583278,0.09114000654385247
2015,Querétaro,Theft with violence,1,3455,2368467,145.87494780379038
2015,Querétaro,Domestic violence,1,942,2368467,39.77256174563547
2015,Querétaro,Sexual crimes,1,596,2368467,25.16395626369293
2015,Querétaro,Homicide,1,447,2368467,18.872967197769697
2015,Querétaro,Drug dealing,1,224,2368467,9.45759430044835
2015,Querétaro,Kidnapping,1,19,2368467,0.8022066594130296
2015,Querétaro,Feminicide,1,8,2368467,0.3377712250160125
2015,Querétaro,Extortion,1,6,2368467,0.25332841876200934
2015,Quintana Roo,Domestic violence,1,3058,1857985,164.58690463055407
2015,Quintana Roo,Theft with violence,1,1721,1857985,92.62722788397107
2015,Quintana Roo,Sexual crimes,1,1024,1857985,55.113469699701554
2015,Quintana Roo,Homicide,1,571,1857985,30.732217967314053
2015,Quintana Roo,Drug dealing,1,557,1857985,29.978713498763444
2015,Quintana Roo,Extortion,1,116,1857985,6.243322739419317
2015,Quintana Roo,Kidnapping,1,5,1857985,0.269108738768074
2015,Quintana Roo,Feminicide,1,0,1857985,0.0
2015,San Luis Potosí,Domestic violence,1,2924,2822255,103.60509592506702
2015,San Luis Potosí,Theft with violence,1,1288,2822255,45.63726523648643
2015,San Luis Potosí,Sexual crimes,1,615,2822255,21.791085497235365
2015,San Luis Potosí,Homicide,1,392,2822255,13.889602463278477
2015,San Luis Potosí,Drug dealing,1,142,2822255,5.031437627003938
2015,San Luis Potosí,Extortion,1,141,2822255,4.99600496765884
2015,San Luis Potosí,Kidnapping,1,21,2822255,0.7440858462470613
2015,San Luis Potosí,Feminicide,1,7,2822255,0.2480286154156871
2015,Sinaloa,Theft with violence,1,3506,3026943,115.82642950329755
2015,Sinaloa,Domestic violence,1,2387,3026943,78.85843902577616
2015,Sinaloa,Homicide,1,1404,3026943,46.38343041147455
2015,Sinaloa,Drug dealing,1,939,3026943,31.021396835024646
2015,Sinaloa,Sexual crimes,1,418,3026943,13.809311903131311
2015,Sinaloa,Extortion,1,128,3026943,4.228688812442124
2015,Sinaloa,Feminicide,1,14,3026943,0.4625128388608573
2015,Sinaloa,Kidnapping,1,12,3026943,0.39643957616644915
2015,Sonora,Drug dealing,1,2587,2944840,87.84857581396612
2015,Sonora,Theft with violence,1,2569,2944840,87.23733717281753
2015,Sonora,Domestic violence,1,2231,2944840,75.75963380013854
2015,Sonora,Homicide,1,983,2944840,33.380421347169964
2015,Sonora,Sexual crimes,1,461,2944840,15.654500753860992
2015,Sonora,Feminicide,1,24,2944840,0.8149848548647805
2015,Sonora,Extortion,1,20,2944840,0.6791540457206504
2015,Sonora,Kidnapping,1,8,2944840,0.27166161828826013
2015,Tabasco,Theft with violence,1,9278,2402598,386.1653093859231
2015,Tabasco,Domestic violence,1,4230,2402598,176.05941568252368
2015,Tabasco,Homicide,1,685,2402598,28.510803721637995
2015,Tabasco,Sexual crimes,1,432,2402598,17.980536069704545
2015,Tabasco,Extortion,1,171,2402598,7.1172955275913825
2015,Tabasco,Kidnapping,1,78,2402598,3.2464856792522094
2015,Tabasco,Feminicide,1,8,2402598,0.33297289017971377
2015,Tabasco,Drug dealing,1,1,2402598,0.04162161127246422
2015,Tamaulipas,Theft with violence,1,5716,3527735,162.03031123369527
2015,Tamaulipas,Domestic violence,1,2394,3527735,67.86224021929084
2015,Tamaulipas,Homicide,1,1383,3527735,39.20362498883845
2015,Tamaulipas,Drug dealing,1,854,3527735,24.208167563606676
2015,Tamaulipas,Sexual crimes,1,584,3527735,16.554531448649062
2015,Tamaulipas,Kidnapping,1,230,3527735,6.519764097926857
2015,Tamaulipas,Extortion,1,174,3527735,4.932343274083796
2015,Tamaulipas,Feminicide,1,0,3527735,0.0
2015,Tlaxcala,Theft with violence,1,1331,1342977,99.10817534477508
2015,Tlaxcala,Homicide,1,322,1342977,23.97658336665483
2015,Tlaxcala,Sexual crimes,1,77,1342977,5.733530805069632
2015,Tlaxcala,Drug dealing,1,68,1342977,5.063377853827728
2015,Tlaxcala,Domestic violence,1,24,1342977,1.7870745366450802
2015,Tlaxcala,Extortion,1,9,1342977,0.6701529512419051
2015,Tlaxcala,Kidnapping,1,8,1342977,0.5956915122150268
2015,Tlaxcala,Feminicide,1,1,1342977,0.07446143902687835
2015,Veracruz de Ignacio de la Llave,Theft with violence,1,5171,8062579,64.13580567706686
2015,Veracruz de Ignacio de la Llave,Domestic violence,1,3572,8062579,44.30344186394949
2015,Veracruz de Ignacio de la Llave,Homicide,1,1008,8062579,12.502203079188433
2015,Veracruz de Ignacio de la Llave,Sexual crimes,1,210,8062579,2.60462564149759
2015,Veracruz de Ignacio de la Llave,Extortion,1,126,8062579,1.5627753848985542
2015,Veracruz de Ignacio de la Llave,Kidnapping,1,97,8062579,1.2030889867869823
2015,Veracruz de Ignacio de la Llave,Drug dealing,1,80,8062579,0.9922383396181296
2015,Veracruz de Ignacio de la Llave,Feminicide,1,40,8062579,0.4961191698090648
2015,Yucatán,Domestic violence,1,2158,2320898,92.98125122258712
2015,Yucatán,Sexual crimes,1,662,2320898,28.523442219347857
2015,Yucatán,Theft with violence,1,230,2320898,9.909957266540795
2015,Yucatán,Drug dealing,1,179,2320898,7.712531959612185
2015,Yucatán,Homicide,1,104,2320898,4.481024155305404
2015,Yucatán,Extortion,1,68,2320898,2.929900409238148
2015,Yucatán,Feminicide,1,1,2320898,0.043086770724090416
2015,Yucatán,Kidnapping,1,0,2320898,0.0
2015,Zacatecas,Theft with violence,1,1871,1622138,115.3416047216698
2015,Zacatecas,Domestic violence,1,735,1622138,45.31057160364901
2015,Zacatecas,Homicide,1,357,1622138,22.007991921772376
2015,Zacatecas,Sexual crimes,1,186,1622138,11.466348732351996
2015,Zacatecas,Drug dealing,1,93,1622138,5.733174366175998
2015,Zacatecas,Extortion,1,91,1622138,5.609880293785116
2015,Zacatecas,Kidnapping,1,18,1622138,1.109646651517935
2015,Zacatecas,Feminicide,1,0,1622138,0.0
2016,Aguascalientes,Theft with violence,1,883,1425607,61.938528640782486
2016,Aguascalientes,Drug dealing,1,717,1425607,50.29436583855158
2016,Aguascalientes,Domestic violence,1,645,1425607,45.24388558698154
2016,Aguascalientes,Homicide,1,233,1425607,16.343915258553025
2016,Aguascalientes,Sexual crimes,1,151,1425607,10.591979416487153
2016,Aguascalientes,Extortion,1,70,1425607,4.910189133470865
2016,Aguascalientes,Kidnapping,1,2,1425607,0.14029111809916758
2016,Aguascalientes,Feminicide,1,0,1425607,0.0
2016,Baja California,Theft with violence,1,10360,3769020,274.872513279314
2016,Baja California,Domestic violence,1,8315,3769020,220.6143772121135
2016,Baja California,Sexual crimes,1,2254,3769020,59.80334410536426
2016,Baja California,Drug dealing,1,1763,3769020,46.77608503006086
2016,Baja California,Homicide,1,1503,3769020,39.877740102201635
2016,Baja California,Extortion,1,175,3769020,4.643116778366791
2016,Baja California,Kidnapping,1,14,3769020,0.37144934226934323
2016,Baja California,Feminicide,1,12,3769020,0.3183851505165799
2016,Baja California Sur,Domestic violence,1,2099,798447,262.88532613936803
2016,Baja California Sur,Theft with violence,1,827,798447,103.57606704014168
2016,Baja California Sur,Drug dealing,1,462,798447,57.86232523886996
2016,Baja California Sur,Sexual crimes,1,413,798447,51.72541195595951
2016,Baja California Sur,Homicide,1,272,798447,34.06613087656413
2016,Baja California Sur,Extortion,1,139,798447,17.408794822950053
2016,Baja California Sur,Feminicide,1,0,798447,0.0
2016,Baja California Sur,Kidnapping,1,0,798447,0.0
2016,Campeche,Sexual crimes,1,172,928363,18.5272355748775
2016,Campeche,Homicide,1,167,928363,17.988653145375245
2016,Campeche,Theft with violence,1,137,928363,14.757158568361728
2016,Campeche,Drug dealing,1,66,928363,7.109288069429739
2016,Campeche,Domestic violence,1,43,928363,4.631808893719375
2016,Campeche,Extortion,1,18,928363,1.9388967462081104
2016,Campeche,Kidnapping,1,6,928363,0.6462989154027035
2016,Campeche,Feminicide,1,3,928363,0.32314945770135173
2016,Chiapas,Theft with violence,1,5701,5543828,102.83508074204323
2016,Chiapas,Domestic violence,1,1964,5543828,35.426784525061024
2016,Chiapas,Homicide,1,1480,5543828,26.696354937418693
2016,Chiapas,Sexual crimes,1,1071,5543828,19.318781174307716
2016,Chiapas,Drug dealing,1,436,5543828,7.864601859942264
2016,Chiapas,Extortion,1,164,5543828,2.958244736308558
2016,Chiapas,Feminicide,1,32,5543828,0.5772184851333771
2016,Chiapas,Kidnapping,1,15,5543828,0.27057116490627053
2016,Chihuahua,Domestic violence,1,11960,3741869,319.62636853401335
2016,Chihuahua,Drug dealing,1,4791,3741869,128.0376197028811
2016,Chihuahua,Sexual crimes,1,2100,3741869,56.1216867827281
2016,Chihuahua,Theft with violence,1,1592,3741869,42.54558350385863
2016,Chihuahua,Homicide,1,1547,3741869,41.34297592994303
2016,Chihuahua,Extortion,1,23,3741869,0.6146660933346411
2016,Chihuahua,Kidnapping,1,9,3741869,0.24052151478312042
2016,Chihuahua,Feminicide,1,0,3741869,0.0
2016,Ciudad de México,Theft with violence,1,21483,9209944,233.25874728445686
2016,Ciudad de México,Domestic violence,1,18426,9209944,200.06636305280466
2016,Ciudad de México,Sexual crimes,1,2625,9209944,28.50180196535397
2016,Ciudad de México,Homicide,1,1594,9209944,17.307379936294943
2016,Ciudad de México,Drug dealing,1,1405,9209944,15.255250194789458
2016,Ciudad de México,Extortion,1,608,9209944,6.601560226641986
2016,Ciudad de México,Feminicide,1,46,9209944,0.4994601487262029
2016,Ciudad de México,Kidnapping,1,46,9209944,0.4994601487262029
2016,Coahuila de Zaragoza,Domestic violence,1,6885,3146771,218.7957115404966
2016,Coahuila de Zaragoza,Drug dealing,1,2488,3146771,79.06517506358105
2016,Coahuila de Zaragoza,Theft with violence,1,1466,3146771,46.587438361418734
2016,Coahuila de Zaragoza,Sexual crimes,1,809,3146771,25.708893338600106
2016,Coahuila de Zaragoza,Homicide,1,476,3146771,15.126617094157789
2016,Coahuila de Zaragoza,Extortion,1,24,3146771,0.762686576176023
2016,Coahuila de Zaragoza,Kidnapping,1,21,3146771,0.6673507541540201
2016,Coahuila de Zaragoza,Feminicide,1,13,3146771,0.4131218954286791
2016,Colima,Theft with violence,1,1061,731391,145.06604538475318
2016,Colima,Homicide,1,597,731391,81.6252866114021
2016,Colima,Domestic violence,1,582,731391,79.57440001312567
2016,Colima,Drug dealing,1,527,731391,72.05448248611208
2016,Colima,Sexual crimes,1,140,731391,19.14160825058006
2016,Colima,Extortion,1,67,731391,9.160626805634744
2016,Colima,Feminicide,1,22,731391,3.0079670108054377
2016,Colima,Kidnapping,1,4,731391,0.546903092873716
2016,Durango,Domestic violence,1,5272,1832650,287.6708591384062
2016,Durango,Theft with violence,1,1180,1832650,64.38763539137315
2016,Durango,Drug dealing,1,610,1832650,33.28513354977764
2016,Durango,Sexual crimes,1,534,1832650,29.13813330423158
2016,Durango,Homicide,1,464,1832650,25.31852781491283
2016,Durango,Extortion,1,49,1832650,2.6737238425231222
2016,Durango,Kidnapping,1,11,1832650,0.6002237197500887
2016,Durango,Feminicide,1,2,1832650,0.10913158540910704
2016,Guanajuato,Domestic violence,1,11133,6166934,180.52730903233277
2016,Guanajuato,Theft with violence,1,8497,6166934,137.7832161005777
2016,Guanajuato,Drug dealing,1,3684,6166934,59.73795081964555
2016,Guanajuato,Homicide,1,2572,6166934,41.70630008363962
2016,Guanajuato,Sexual crimes,1,1604,6166934,26.009683255893446
2016,Guanajuato,Feminicide,1,14,6166934,0.22701718552525454
2016,Guanajuato,Kidnapping,1,8,6166934,0.12972410601443116
2016,Guanajuato,Extortion,1,4,6166934,0.06486205300721558
2016,Guerrero,Theft with violence,1,4089,3540685,115.48612768433226
2016,Guerrero,Homicide,1,2844,3540685,80.32344023825898
2016,Guerrero,Domestic violence,1,2183,3540685,61.65473630102649
2016,Guerrero,Sexual crimes,1,497,3540685,14.036831855982669
2016,Guerrero,Drug dealing,1,416,3540685,11.749138937804409
2016,Guerrero,Extortion,1,199,3540685,5.620381366882397
2016,Guerrero,Kidnapping,1,72,3540685,2.0335048161584552
2016,Guerrero,Feminicide,1,21,3540685,0.5931055713795494
2016,Hidalgo,Domestic violence,1,3078,3082841,99.84296952064669
2016,Hidalgo,Theft with violence,1,2126,3082841,68.9623629632537
2016,Hidalgo,Sexual crimes,1,843,3082841,27.34490685701922
2016,Hidalgo,Homicide,1,653,3082841,21.181760590312635
2016,Hidalgo,Drug dealing,1,187,3082841,6.0658334309164825
2016,Hidalgo,Extortion,1,80,3082841,2.5950089544027732
2016,Hidalgo,Feminicide,1,22,3082841,0.7136274624607627
2016,Hidalgo,Kidnapping,1,14,3082841,0.45412656702048537
2016,Jalisco,Domestic violence,1,11431,8348151,136.92852465174622
2016,Jalisco,Theft with violence,1,7494,8348151,89.76838104629397
2016,Jalisco,Sexual crimes,1,3155,8348151,37.792799866701024
2016,Jalisco,Drug dealing,1,2245,8348151,26.892182472501993
2016,Jalisco,Homicide,1,2027,8348151,24.280825778067502
2016,Jalisco,Extortion,1,675,8348151,8.085622792400377
2016,Jalisco,Feminicide,1,48,8348151,0.5749776207929157
2016,Jalisco,Kidnapping,1,16,8348151,0.1916592069309719
2016,Michoacán de Ocampo,Theft with violence,1,5367,4748846,113.0169308501476
2016,Michoacán de Ocampo,Homicide,1,2355,4748846,49.59099537024363
2016,Michoacán de Ocampo,Drug dealing,1,1101,4748846,23.18458000112027
2016,Michoacán de Ocampo,Domestic violence,1,787,4748846,16.572447285087787
2016,Michoacán de Ocampo,Sexual crimes,1,569,4748846,11.981858329370967
2016,Michoacán de Ocampo,Feminicide,1,26,4748846,0.5475014350854924
2016,Michoacán de Ocampo,Kidnapping,1,25,4748846,0.5264436875822042
2016,Michoacán de Ocampo,Extortion,1,18,4748846,0.379039455059187
2016,Morelos,Theft with violence,1,5769,1971520,292.6168641454309
2016,Morelos,Domestic violence,1,4516,1971520,229.06184061029055
2016,Morelos,Drug dealing,1,843,1971520,42.75888654439215
2016,Morelos,Sexual crimes,1,838,1971520,42.5052751176757
2016,Morelos,Homicide,1,833,1971520,42.25166369095926
2016,Morelos,Extortion,1,67,1971520,3.3983931180003246
2016,Morelos,Kidnapping,1,41,1971520,2.0796136990748257
2016,Morelos,Feminicide,1,30,1971520,1.5216685602986528
2016,México,Theft with violence,1,58336,16992418,343.30605567730265
2016,México,Domestic violence,1,5474,16992418,32.21436760795315
2016,México,Sexual crimes,1,3916,16992418,23.04557244295662
2016,México,Homicide,1,2899,16992418,17.060550181851696
2016,México,Extortion,1,1452,16992418,8.544987535028858
2016,México,Drug dealing,1,766,16992418,4.507892873162607
2016,México,Kidnapping,1,254,16992418,1.4947843208659297
2016,México,Feminicide,1,57,16992418,0.3354437255486535
2016,Nayarit,Domestic violence,1,476,1235456,38.52828429341069
2016,Nayarit,Drug dealing,1,188,1235456,15.21705346042271
2016,Nayarit,Theft with violence,1,167,1235456,13.517276212184003
2016,Nayarit,Sexual crimes,1,93,1235456,7.527584956485702
2016,Nayarit,Homicide,1,84,1235456,6.799108992954828
2016,Nayarit,Extortion,1,5,1235456,0.4047088686282636
2016,Nayarit,Kidnapping,1,3,1235456,0.24282532117695815
2016,Nayarit,Feminicide,1,0,1235456,0.0
2016,Nuevo León,Domestic violence,1,17773,5784442,307.2552201232202
2016,Nuevo León,Theft with violence,1,5935,5784442,102.60280939803701
2016,Nuevo León,Sexual crimes,1,1883,5784442,32.552837421483346
2016,Nuevo León,Drug dealing,1,1611,5784442,27.85056881891114
2016,Nuevo León,Homicide,1,1171,5784442,20.243957844161976
2016,Nuevo León,Extortion,1,626,5784442,10.822132886802219
2016,Nuevo León,Kidnapping,1,27,5784442,0.4667693098141532
2016,Nuevo León,Feminicide,1,3,5784442,0.05186325664601702
2016,Oaxaca,Domestic violence,1,3353,4132148,81.14423781529607
2016,Oaxaca,Theft with violence,1,2758,4132148,66.74494718001388
2016,Oaxaca,Homicide,1,1541,4132148,37.29295272095772
2016,Oaxaca,Sexual crimes,1,874,4132148,21.15122691636408
2016,Oaxaca,Drug dealing,1,324,4132148,7.840958261901559
2016,Oaxaca,Feminicide,1,67,4132148,1.6214327269981617
2016,Oaxaca,Extortion,1,53,4132148,1.2826258885209338
2016,Oaxaca,Kidnapping,1,28,4132148,0.6776136769544556
2016,Puebla,Theft with violence,1,9249,6583278,140.4923200873486
2016,Puebla,Domestic violence,1,5586,6583278,84.85134609232665
2016,Puebla,Homicide,1,1206,6583278,18.319141315314344
2016,Puebla,Sexual crimes,1,767,6583278,11.650730836522474
2016,Puebla,Drug dealing,1,518,6583278,7.868420564952597
2016,Puebla,Extortion,1,122,6583278,1.8531801330583335
2016,Puebla,Kidnapping,1,32,6583278,0.48608003490054646
2016,Puebla,Feminicide,1,12,6583278,0.18228001308770495
2016,Querétaro,Theft with violence,1,2927,2368467,123.58204695273355
2016,Querétaro,Domestic violence,1,965,2368467,40.7436540175565
